Respondent_ID,Age_Group,Region,Question,Response,Date
1,36-50,South,Favorite Product,Product C,2024-01-01
2,18-25,South,Favorite Product,Product C,2024-01-02
3,36-50,East,Favorite Product,Product A,2024-01-03
4,36-50,South,Favorite Product,Product A,2024-01-04
5,18-25,West,Favorite Product,Product B,2024-01-05
6,18-25,North,Favorite Product,Product B,2024-01-06
7,36-50,West,Favorite Product,Product A,2024-01-07
8,26-35,North,Favorite Product,Product B,2024-01-08
9,36-50,North,Favorite Product,Product A,2024-01-09
10,36-50,West,Favorite Product,Product B,2024-01-10
11,36-50,West,Favorite Product,Product A,2024-01-11
12,36-50,West,Favorite Product,Product A,2024-01-12
13,18-25,West,Favorite Product,Product A,2024-01-13
14,36-50,East,Favorite Product,Product B,2024-01-14
15,26-35,South,Favorite Product,Product B,2024-01-15
16,18-25,North,Favorite Product,Product B,2024-01-16
17,26-35,West,Favorite Product,Product A,2024-01-17
18,26-35,West,Favorite Product,Product B,2024-01-18
19,26-35,West,Favorite Product,Product B,2024-01-19
20,26-35,East,Favorite Product,Product A,2024-01-20
21,18-25,West,Favorite Product,Product C,2024-01-21
22,18-25,West,Favorite Product,Product A,2024-01-22
23,26-35,West,Favorite Product,Product B,2024-01-23
24,26-35,South,Favorite Product,Product A,2024-01-24
25,18-25,East,Favorite Product,Product C,2024-01-25
26,18-25,West,Favorite Product,Product A,2024-01-26
27,18-25,North,Favorite Product,Product B,2024-01-27
28,36-50,North,Favorite Product,Product C,2024-01-28
29,36-50,North,Favorite Product,Product B,2024-01-29
30,36-50,East,Favorite Product,Product C,2024-01-30
31,26-35,East,Favorite Product,Product C,2024-01-31
32,36-50,North,Favorite Product,Product A,2024-02-01
33,26-35,West,Favorite Product,Product A,2024-02-02
34,26-35,East,Favorite Product,Product B,2024-02-03
35,36-50,North,Favorite Product,Product A,2024-02-04
36,26-35,North,Favorite Product,Product A,2024-02-05
37,36-50,West,Favorite Product,Product C,2024-02-06
38,36-50,South,Favorite Product,Product A,2024-02-07
39,18-25,East,Favorite Product,Product C,2024-02-08
40,36-50,West,Favorite Product,Product C,2024-02-09
41,18-25,North,Favorite Product,Product C,2024-02-10
42,36-50,North,Favorite Product,Product B,2024-02-11
43,36-50,West,Favorite Product,Product B,2024-02-12
44,18-25,East,Favorite Product,Product B,2024-02-13
45,18-25,South,Favorite Product,Product C,2024-02-14
46,36-50,South,Favorite Product,Product B,2024-02-15
47,26-35,North,Favorite Product,Product B,2024-02-16
48,18-25,East,Favorite Product,Product A,2024-02-17
49,26-35,South,Favorite Product,Product B,2024-02-18
50,26-35,East,Favorite Product,Product B,2024-02-19
51,26-35,East,Favorite Product,Product C,2024-02-20
52,18-25,North,Favorite Product,Product C,2024-02-21
53,26-35,South,Favorite Product,Product C,2024-02-22
54,18-25,West,Favorite Product,Product C,2024-02-23
55,26-35,North,Favorite Product,Product C,2024-02-24
56,36-50,South,Favorite Product,Product C,2024-02-25
57,36-50,South,Favorite Product,Product B,2024-02-26
58,18-25,South,Favorite Product,Product C,2024-02-27
59,36-50,South,Favorite Product,Product C,2024-02-28
60,36-50,South,Favorite Product,Product A,2024-02-29
61,26-35,East,Favorite Product,Product B,2024-03-01
62,18-25,North,Favorite Product,Product B,2024-03-02
63,26-35,East,Favorite Product,Product B,2024-03-03
64,26-35,West,Favorite Product,Product C,2024-03-04
65,26-35,South,Favorite Product,Product C,2024-03-05
66,26-35,North,Favorite Product,Product C,2024-03-06
67,26-35,South,Favorite Product,Product A,2024-03-07
68,26-35,North,Favorite Product,Product C,2024-03-08
69,26-35,East,Favorite Product,Product A,2024-03-09
70,18-25,North,Favorite Product,Product B,2024-03-10
71,36-50,West,Favorite Product,Product C,2024-03-11
72,26-35,West,Favorite Product,Product A,2024-03-12
73,26-35,North,Favorite Product,Product A,2024-03-13
74,26-35,North,Favorite Product,Product C,2024-03-14
75,26-35,North,Favorite Product,Product B,2024-03-15
76,26-35,North,Favorite Product,Product B,2024-03-16
77,26-35,West,Favorite Product,Product B,2024-03-17
78,36-50,South,Favorite Product,Product A,2024-03-18
79,36-50,North,Favorite Product,Product A,2024-03-19
80,26-35,North,Favorite Product,Product A,2024-03-20
81,36-50,West,Favorite Product,Product A,2024-03-21
82,18-25,West,Favorite Product,Product B,2024-03-22
83,26-35,East,Favorite Product,Product C,2024-03-23
84,18-25,North,Favorite Product,Product A,2024-03-24
85,18-25,East,Favorite Product,Product A,2024-03-25
86,26-35,West,Favorite Product,Product B,2024-03-26
87,36-50,West,Favorite Product,Product C,2024-03-27
88,18-25,South,Favorite Product,Product C,2024-03-28
89,26-35,North,Favorite Product,Product B,2024-03-29
90,18-25,East,Favorite Product,Product B,2024-03-30
91,18-25,West,Favorite Product,Product C,2024-03-31
92,18-25,West,Favorite Product,Product A,2024-04-01
93,18-25,East,Favorite Product,Product C,2024-04-02
94,36-50,South,Favorite Product,Product B,2024-04-03
95,18-25,West,Favorite Product,Product A,2024-04-04
96,18-25,North,Favorite Product,Product A,2024-04-05
97,18-25,West,Favorite Product,Product B,2024-04-06
98,36-50,North,Favorite Product,Product B,2024-04-07
99,18-25,East,Favorite Product,Product B,2024-04-08
100,18-25,North,Favorite Product,Product C,2024-04-09
101,36-50,East,Favorite Product,Product C,2024-04-10
102,36-50,North,Favorite Product,Product A,2024-04-11
103,36-50,East,Favorite Product,Product B,2024-04-12
104,18-25,North,Favorite Product,Product A,2024-04-13
105,36-50,South,Favorite Product,Product A,2024-04-14
106,36-50,North,Favorite Product,Product A,2024-04-15
107,18-25,North,Favorite Product,Product A,2024-04-16
108,36-50,South,Favorite Product,Product B,2024-04-17
109,18-25,West,Favorite Product,Product A,2024-04-18
110,26-35,West,Favorite Product,Product B,2024-04-19
111,36-50,North,Favorite Product,Product B,2024-04-20
112,26-35,South,Favorite Product,Product C,2024-04-21
113,18-25,North,Favorite Product,Product B,2024-04-22
114,36-50,East,Favorite Product,Product C,2024-04-23
115,18-25,East,Favorite Product,Product B,2024-04-24
116,26-35,North,Favorite Product,Product B,2024-04-25
117,18-25,West,Favorite Product,Product B,2024-04-26
118,36-50,West,Favorite Product,Product C,2024-04-27
119,36-50,North,Favorite Product,Product C,2024-04-28
120,26-35,North,Favorite Product,Product A,2024-04-29
121,18-25,East,Favorite Product,Product C,2024-04-30
122,36-50,West,Favorite Product,Product C,2024-05-01
123,26-35,North,Favorite Product,Product C,2024-05-02
124,36-50,East,Favorite Product,Product C,2024-05-03
125,36-50,West,Favorite Product,Product A,2024-05-04
126,18-25,South,Favorite Product,Product C,2024-05-05
127,36-50,East,Favorite Product,Product B,2024-05-06
128,18-25,West,Favorite Product,Product B,2024-05-07
129,36-50,West,Favorite Product,Product C,2024-05-08
130,26-35,East,Favorite Product,Product C,2024-05-09
131,36-50,South,Favorite Product,Product B,2024-05-10
132,18-25,East,Favorite Product,Product B,2024-05-11
133,18-25,West,Favorite Product,Product A,2024-05-12
134,26-35,North,Favorite Product,Product B,2024-05-13
135,36-50,North,Favorite Product,Product B,2024-05-14
136,36-50,East,Favorite Product,Product C,2024-05-15
137,26-35,West,Favorite Product,Product B,2024-05-16
138,36-50,North,Favorite Product,Product A,2024-05-17
139,36-50,West,Favorite Product,Product B,2024-05-18
140,18-25,East,Favorite Product,Product C,2024-05-19
141,36-50,North,Favorite Product,Product C,2024-05-20
142,36-50,West,Favorite Product,Product B,2024-05-21
143,26-35,North,Favorite Product,Product C,2024-05-22
144,26-35,East,Favorite Product,Product A,2024-05-23
145,18-25,West,Favorite Product,Product A,2024-05-24
146,36-50,North,Favorite Product,Product B,2024-05-25
147,36-50,East,Favorite Product,Product B,2024-05-26
148,36-50,North,Favorite Product,Product B,2024-05-27
149,18-25,North,Favorite Product,Product C,2024-05-28
150,18-25,South,Favorite Product,Product A,2024-05-29
151,26-35,South,Favorite Product,Product A,2024-05-30
152,18-25,East,Favorite Product,Product C,2024-05-31
153,36-50,South,Favorite Product,Product A,2024-06-01
154,36-50,East,Favorite Product,Product B,2024-06-02
155,18-25,South,Favorite Product,Product B,2024-06-03
156,36-50,North,Favorite Product,Product B,2024-06-04
157,36-50,East,Favorite Product,Product A,2024-06-05
158,18-25,East,Favorite Product,Product B,2024-06-06
159,18-25,North,Favorite Product,Product C,2024-06-07
160,36-50,East,Favorite Product,Product C,2024-06-08
161,36-50,East,Favorite Product,Product A,2024-06-09
162,36-50,South,Favorite Product,Product C,2024-06-10
163,26-35,East,Favorite Product,Product C,2024-06-11
164,26-35,West,Favorite Product,Product A,2024-06-12
165,26-35,North,Favorite Product,Product B,2024-06-13
166,18-25,South,Favorite Product,Product B,2024-06-14
167,26-35,South,Favorite Product,Product B,2024-06-15
168,18-25,West,Favorite Product,Product A,2024-06-16
169,18-25,North,Favorite Product,Product C,2024-06-17
170,26-35,North,Favorite Product,Product B,2024-06-18
171,26-35,South,Favorite Product,Product B,2024-06-19
172,26-35,East,Favorite Product,Product A,2024-06-20
173,36-50,South,Favorite Product,Product B,2024-06-21
174,26-35,North,Favorite Product,Product A,2024-06-22
175,36-50,West,Favorite Product,Product C,2024-06-23
176,18-25,South,Favorite Product,Product A,2024-06-24
177,36-50,North,Favorite Product,Product A,2024-06-25
178,26-35,South,Favorite Product,Product A,2024-06-26
179,18-25,East,Favorite Product,Product A,2024-06-27
180,18-25,South,Favorite Product,Product C,2024-06-28
181,18-25,South,Favorite Product,Product C,2024-06-29
182,36-50,North,Favorite Product,Product B,2024-06-30
183,26-35,North,Favorite Product,Product C,2024-07-01
184,18-25,North,Favorite Product,Product C,2024-07-02
185,18-25,South,Favorite Product,Product B,2024-07-03
186,18-25,East,Favorite Product,Product C,2024-07-04
187,36-50,West,Favorite Product,Product A,2024-07-05
188,36-50,West,Favorite Product,Product A,2024-07-06
189,26-35,North,Favorite Product,Product B,2024-07-07
190,36-50,North,Favorite Product,Product B,2024-07-08
191,18-25,South,Favorite Product,Product B,2024-07-09
192,26-35,West,Favorite Product,Product A,2024-07-10
193,18-25,North,Favorite Product,Product C,2024-07-11
194,18-25,East,Favorite Product,Product A,2024-07-12
195,36-50,East,Favorite Product,Product B,2024-07-13
196,26-35,North,Favorite Product,Product C,2024-07-14
197,36-50,North,Favorite Product,Product C,2024-07-15
198,36-50,West,Favorite Product,Product A,2024-07-16
199,26-35,West,Favorite Product,Product B,2024-07-17
200,18-25,South,Favorite Product,Product A,2024-07-18
201,18-25,West,Favorite Product,Product C,2024-07-19
202,26-35,East,Favorite Product,Product A,2024-07-20
203,18-25,East,Favorite Product,Product A,2024-07-21
204,26-35,North,Favorite Product,Product B,2024-07-22
205,26-35,West,Favorite Product,Product B,2024-07-23
206,36-50,South,Favorite Product,Product C,2024-07-24
207,26-35,East,Favorite Product,Product A,2024-07-25
208,36-50,East,Favorite Product,Product A,2024-07-26
209,18-25,South,Favorite Product,Product A,2024-07-27
210,18-25,South,Favorite Product,Product C,2024-07-28
211,18-25,East,Favorite Product,Product C,2024-07-29
212,18-25,East,Favorite Product,Product B,2024-07-30
213,36-50,South,Favorite Product,Product B,2024-07-31
214,18-25,East,Favorite Product,Product B,2024-08-01
215,26-35,North,Favorite Product,Product A,2024-08-02
216,26-35,North,Favorite Product,Product A,2024-08-03
217,26-35,South,Favorite Product,Product B,2024-08-04
218,36-50,West,Favorite Product,Product A,2024-08-05
219,18-25,South,Favorite Product,Product B,2024-08-06
220,18-25,South,Favorite Product,Product C,2024-08-07
221,18-25,West,Favorite Product,Product B,2024-08-08
222,36-50,West,Favorite Product,Product C,2024-08-09
223,26-35,West,Favorite Product,Product A,2024-08-10
224,26-35,North,Favorite Product,Product B,2024-08-11
225,18-25,East,Favorite Product,Product A,2024-08-12
226,26-35,North,Favorite Product,Product C,2024-08-13
227,26-35,East,Favorite Product,Product C,2024-08-14
228,36-50,North,Favorite Product,Product C,2024-08-15
229,36-50,East,Favorite Product,Product A,2024-08-16
230,36-50,North,Favorite Product,Product A,2024-08-17
231,36-50,West,Favorite Product,Product A,2024-08-18
232,18-25,South,Favorite Product,Product A,2024-08-19
233,36-50,North,Favorite Product,Product C,2024-08-20
234,26-35,East,Favorite Product,Product C,2024-08-21
235,18-25,West,Favorite Product,Product B,2024-08-22
236,26-35,North,Favorite Product,Product B,2024-08-23
237,26-35,North,Favorite Product,Product A,2024-08-24
238,26-35,West,Favorite Product,Product C,2024-08-25
239,36-50,North,Favorite Product,Product C,2024-08-26
240,36-50,South,Favorite Product,Product C,2024-08-27
241,18-25,North,Favorite Product,Product B,2024-08-28
242,18-25,South,Favorite Product,Product B,2024-08-29
243,36-50,South,Favorite Product,Product C,2024-08-30
244,26-35,West,Favorite Product,Product C,2024-08-31
245,18-25,North,Favorite Product,Product C,2024-09-01
246,36-50,West,Favorite Product,Product B,2024-09-02
247,36-50,North,Favorite Product,Product C,2024-09-03
248,36-50,North,Favorite Product,Product C,2024-09-04
249,26-35,East,Favorite Product,Product A,2024-09-05
250,36-50,North,Favorite Product,Product A,2024-09-06
251,36-50,West,Favorite Product,Product B,2024-09-07
252,36-50,South,Favorite Product,Product C,2024-09-08
253,36-50,North,Favorite Product,Product C,2024-09-09
254,18-25,East,Favorite Product,Product A,2024-09-10
255,18-25,West,Favorite Product,Product B,2024-09-11
256,36-50,North,Favorite Product,Product A,2024-09-12
257,26-35,West,Favorite Product,Product A,2024-09-13
258,18-25,East,Favorite Product,Product A,2024-09-14
259,36-50,East,Favorite Product,Product A,2024-09-15
260,18-25,West,Favorite Product,Product C,2024-09-16
261,18-25,North,Favorite Product,Product C,2024-09-17
262,26-35,South,Favorite Product,Product A,2024-09-18
263,36-50,East,Favorite Product,Product B,2024-09-19
264,36-50,North,Favorite Product,Product B,2024-09-20
265,26-35,North,Favorite Product,Product B,2024-09-21
266,26-35,South,Favorite Product,Product B,2024-09-22
267,36-50,East,Favorite Product,Product A,2024-09-23
268,36-50,East,Favorite Product,Product C,2024-09-24
269,26-35,North,Favorite Product,Product B,2024-09-25
270,18-25,North,Favorite Product,Product A,2024-09-26
271,18-25,South,Favorite Product,Product B,2024-09-27
272,26-35,South,Favorite Product,Product B,2024-09-28
273,18-25,East,Favorite Product,Product A,2024-09-29
274,26-35,West,Favorite Product,Product C,2024-09-30
275,18-25,East,Favorite Product,Product C,2024-10-01
276,18-25,North,Favorite Product,Product A,2024-10-02
277,36-50,East,Favorite Product,Product C,2024-10-03
278,36-50,West,Favorite Product,Product A,2024-10-04
279,18-25,South,Favorite Product,Product A,2024-10-05
280,18-25,West,Favorite Product,Product A,2024-10-06
281,36-50,West,Favorite Product,Product C,2024-10-07
282,36-50,West,Favorite Product,Product A,2024-10-08
283,36-50,South,Favorite Product,Product B,2024-10-09
284,26-35,West,Favorite Product,Product C,2024-10-10
285,18-25,West,Favorite Product,Product C,2024-10-11
286,36-50,West,Favorite Product,Product C,2024-10-12
287,18-25,North,Favorite Product,Product C,2024-10-13
288,26-35,West,Favorite Product,Product B,2024-10-14
289,26-35,South,Favorite Product,Product C,2024-10-15
290,36-50,West,Favorite Product,Product C,2024-10-16
291,26-35,West,Favorite Product,Product A,2024-10-17
292,18-25,South,Favorite Product,Product C,2024-10-18
293,36-50,West,Favorite Product,Product B,2024-10-19
294,18-25,South,Favorite Product,Product B,2024-10-20
295,18-25,West,Favorite Product,Product B,2024-10-21
296,26-35,South,Favorite Product,Product B,2024-10-22
297,26-35,West,Favorite Product,Product C,2024-10-23
298,26-35,West,Favorite Product,Product C,2024-10-24
299,26-35,North,Favorite Product,Product B,2024-10-25
300,26-35,North,Favorite Product,Product B,2024-10-26
301,36-50,West,Favorite Product,Product C,2024-10-27
302,18-25,West,Favorite Product,Product B,2024-10-28
303,18-25,East,Favorite Product,Product A,2024-10-29
304,18-25,South,Favorite Product,Product B,2024-10-30
305,18-25,East,Favorite Product,Product B,2024-10-31
306,26-35,North,Favorite Product,Product A,2024-11-01
307,18-25,North,Favorite Product,Product A,2024-11-02
308,36-50,North,Favorite Product,Product C,2024-11-03
309,36-50,North,Favorite Product,Product C,2024-11-04
310,18-25,West,Favorite Product,Product A,2024-11-05
311,18-25,North,Favorite Product,Product A,2024-11-06
312,36-50,West,Favorite Product,Product C,2024-11-07
313,36-50,West,Favorite Product,Product B,2024-11-08
314,26-35,North,Favorite Product,Product A,2024-11-09
315,36-50,North,Favorite Product,Product C,2024-11-10
316,26-35,South,Favorite Product,Product B,2024-11-11
317,26-35,East,Favorite Product,Product A,2024-11-12
318,26-35,North,Favorite Product,Product B,2024-11-13
319,26-35,South,Favorite Product,Product C,2024-11-14
320,26-35,South,Favorite Product,Product A,2024-11-15
321,18-25,East,Favorite Product,Product B,2024-11-16
322,36-50,West,Favorite Product,Product A,2024-11-17
323,26-35,North,Favorite Product,Product B,2024-11-18
324,36-50,East,Favorite Product,Product C,2024-11-19
325,36-50,North,Favorite Product,Product C,2024-11-20
326,26-35,South,Favorite Product,Product A,2024-11-21
327,18-25,South,Favorite Product,Product B,2024-11-22
328,26-35,West,Favorite Product,Product A,2024-11-23
329,18-25,South,Favorite Product,Product A,2024-11-24
330,36-50,South,Favorite Product,Product B,2024-11-25
331,18-25,East,Favorite Product,Product B,2024-11-26
332,18-25,North,Favorite Product,Product B,2024-11-27
333,18-25,North,Favorite Product,Product C,2024-11-28
334,36-50,East,Favorite Product,Product A,2024-11-29
335,36-50,West,Favorite Product,Product A,2024-11-30
336,18-25,North,Favorite Product,Product C,2024-12-01
337,18-25,South,Favorite Product,Product B,2024-12-02
338,26-35,North,Favorite Product,Product C,2024-12-03
339,18-25,South,Favorite Product,Product C,2024-12-04
340,26-35,West,Favorite Product,Product C,2024-12-05
341,18-25,East,Favorite Product,Product A,2024-12-06
342,26-35,North,Favorite Product,Product C,2024-12-07
343,36-50,East,Favorite Product,Product A,2024-12-08
344,18-25,North,Favorite Product,Product A,2024-12-09
345,18-25,South,Favorite Product,Product A,2024-12-10
346,18-25,East,Favorite Product,Product B,2024-12-11
347,18-25,North,Favorite Product,Product A,2024-12-12
348,26-35,South,Favorite Product,Product A,2024-12-13
349,18-25,East,Favorite Product,Product B,2024-12-14
350,36-50,East,Favorite Product,Product A,2024-12-15
351,36-50,North,Favorite Product,Product C,2024-12-16
352,18-25,North,Favorite Product,Product C,2024-12-17
353,36-50,North,Favorite Product,Product A,2024-12-18
354,18-25,South,Favorite Product,Product B,2024-12-19
355,18-25,North,Favorite Product,Product C,2024-12-20
356,36-50,East,Favorite Product,Product B,2024-12-21
357,18-25,East,Favorite Product,Product B,2024-12-22
358,36-50,North,Favorite Product,Product C,2024-12-23
359,26-35,North,Favorite Product,Product B,2024-12-24
360,18-25,West,Favorite Product,Product C,2024-12-25
361,26-35,East,Favorite Product,Product B,2024-12-26
362,36-50,South,Favorite Product,Product C,2024-12-27
363,26-35,West,Favorite Product,Product A,2024-12-28
364,26-35,North,Favorite Product,Product C,2024-12-29
365,36-50,North,Favorite Product,Product C,2024-12-30
366,26-35,East,Favorite Product,Product C,2024-12-31
367,26-35,North,Favorite Product,Product C,2025-01-01
368,36-50,South,Favorite Product,Product B,2025-01-02
369,26-35,East,Favorite Product,Product A,2025-01-03
370,36-50,North,Favorite Product,Product C,2025-01-04
371,26-35,East,Favorite Product,Product B,2025-01-05
372,36-50,North,Favorite Product,Product A,2025-01-06
373,36-50,North,Favorite Product,Product A,2025-01-07
374,26-35,North,Favorite Product,Product A,2025-01-08
375,26-35,South,Favorite Product,Product A,2025-01-09
376,26-35,South,Favorite Product,Product C,2025-01-10
377,18-25,East,Favorite Product,Product C,2025-01-11
378,18-25,North,Favorite Product,Product B,2025-01-12
379,18-25,North,Favorite Product,Product B,2025-01-13
380,36-50,South,Favorite Product,Product B,2025-01-14
381,26-35,North,Favorite Product,Product A,2025-01-15
382,36-50,South,Favorite Product,Product A,2025-01-16
383,18-25,North,Favorite Product,Product C,2025-01-17
384,26-35,East,Favorite Product,Product A,2025-01-18
385,36-50,North,Favorite Product,Product A,2025-01-19
386,26-35,North,Favorite Product,Product A,2025-01-20
387,36-50,West,Favorite Product,Product B,2025-01-21
388,26-35,South,Favorite Product,Product B,2025-01-22
389,18-25,North,Favorite Product,Product C,2025-01-23
390,18-25,North,Favorite Product,Product A,2025-01-24
391,26-35,West,Favorite Product,Product A,2025-01-25
392,36-50,West,Favorite Product,Product C,2025-01-26
393,18-25,South,Favorite Product,Product A,2025-01-27
394,18-25,West,Favorite Product,Product A,2025-01-28
395,18-25,East,Favorite Product,Product B,2025-01-29
396,26-35,West,Favorite Product,Product C,2025-01-30
397,26-35,East,Favorite Product,Product C,2025-01-31
398,36-50,South,Favorite Product,Product C,2025-02-01
399,36-50,South,Favorite Product,Product C,2025-02-02
400,36-50,South,Favorite Product,Product B,2025-02-03
401,26-35,South,Favorite Product,Product B,2025-02-04
402,26-35,South,Favorite Product,Product A,2025-02-05
403,36-50,East,Favorite Product,Product A,2025-02-06
404,36-50,East,Favorite Product,Product A,2025-02-07
405,26-35,South,Favorite Product,Product A,2025-02-08
406,36-50,West,Favorite Product,Product B,2025-02-09
407,18-25,North,Favorite Product,Product C,2025-02-10
408,26-35,South,Favorite Product,Product B,2025-02-11
409,36-50,West,Favorite Product,Product A,2025-02-12
410,26-35,North,Favorite Product,Product B,2025-02-13
411,18-25,South,Favorite Product,Product C,2025-02-14
412,26-35,South,Favorite Product,Product C,2025-02-15
413,26-35,East,Favorite Product,Product B,2025-02-16
414,26-35,North,Favorite Product,Product B,2025-02-17
415,26-35,North,Favorite Product,Product B,2025-02-18
416,18-25,West,Favorite Product,Product A,2025-02-19
417,26-35,East,Favorite Product,Product B,2025-02-20
418,26-35,East,Favorite Product,Product B,2025-02-21
419,36-50,East,Favorite Product,Product B,2025-02-22
420,26-35,East,Favorite Product,Product C,2025-02-23
421,36-50,North,Favorite Product,Product C,2025-02-24
422,18-25,North,Favorite Product,Product A,2025-02-25
423,18-25,South,Favorite Product,Product A,2025-02-26
424,18-25,South,Favorite Product,Product C,2025-02-27
425,18-25,East,Favorite Product,Product C,2025-02-28
426,36-50,East,Favorite Product,Product C,2025-03-01
427,26-35,East,Favorite Product,Product B,2025-03-02
428,18-25,South,Favorite Product,Product B,2025-03-03
429,26-35,West,Favorite Product,Product C,2025-03-04
430,36-50,West,Favorite Product,Product B,2025-03-05
431,36-50,South,Favorite Product,Product B,2025-03-06
432,36-50,South,Favorite Product,Product A,2025-03-07
433,18-25,South,Favorite Product,Product C,2025-03-08
434,26-35,South,Favorite Product,Product C,2025-03-09
435,26-35,South,Favorite Product,Product B,2025-03-10
436,26-35,South,Favorite Product,Product C,2025-03-11
437,36-50,East,Favorite Product,Product A,2025-03-12
438,18-25,East,Favorite Product,Product A,2025-03-13
439,36-50,East,Favorite Product,Product A,2025-03-14
440,36-50,East,Favorite Product,Product C,2025-03-15
441,26-35,South,Favorite Product,Product C,2025-03-16
442,36-50,West,Favorite Product,Product C,2025-03-17
443,26-35,North,Favorite Product,Product C,2025-03-18
444,18-25,South,Favorite Product,Product C,2025-03-19
445,26-35,North,Favorite Product,Product A,2025-03-20
446,18-25,West,Favorite Product,Product B,2025-03-21
447,26-35,East,Favorite Product,Product A,2025-03-22
448,36-50,West,Favorite Product,Product C,2025-03-23
449,36-50,South,Favorite Product,Product A,2025-03-24
450,18-25,East,Favorite Product,Product C,2025-03-25
451,18-25,South,Favorite Product,Product C,2025-03-26
452,18-25,East,Favorite Product,Product A,2025-03-27
453,26-35,North,Favorite Product,Product C,2025-03-28
454,26-35,North,Favorite Product,Product B,2025-03-29
455,18-25,North,Favorite Product,Product C,2025-03-30
456,36-50,West,Favorite Product,Product B,2025-03-31
457,26-35,South,Favorite Product,Product B,2025-04-01
458,26-35,West,Favorite Product,Product C,2025-04-02
459,26-35,North,Favorite Product,Product A,2025-04-03
460,18-25,South,Favorite Product,Product B,2025-04-04
461,18-25,North,Favorite Product,Product A,2025-04-05
462,18-25,West,Favorite Product,Product B,2025-04-06
463,18-25,West,Favorite Product,Product C,2025-04-07
464,18-25,West,Favorite Product,Product C,2025-04-08
465,36-50,North,Favorite Product,Product B,2025-04-09
466,36-50,South,Favorite Product,Product C,2025-04-10
467,18-25,South,Favorite Product,Product B,2025-04-11
468,26-35,North,Favorite Product,Product C,2025-04-12
469,18-25,South,Favorite Product,Product A,2025-04-13
470,36-50,North,Favorite Product,Product C,2025-04-14
471,36-50,South,Favorite Product,Product A,2025-04-15
472,26-35,East,Favorite Product,Product C,2025-04-16
473,36-50,East,Favorite Product,Product A,2025-04-17
474,18-25,West,Favorite Product,Product C,2025-04-18
475,26-35,East,Favorite Product,Product A,2025-04-19
476,18-25,East,Favorite Product,Product B,2025-04-20
477,18-25,East,Favorite Product,Product B,2025-04-21
478,26-35,North,Favorite Product,Product A,2025-04-22
479,18-25,East,Favorite Product,Product C,2025-04-23
480,36-50,East,Favorite Product,Product A,2025-04-24
481,18-25,West,Favorite Product,Product C,2025-04-25
482,26-35,East,Favorite Product,Product B,2025-04-26
483,26-35,East,Favorite Product,Product C,2025-04-27
484,26-35,South,Favorite Product,Product B,2025-04-28
485,18-25,West,Favorite Product,Product C,2025-04-29
486,26-35,West,Favorite Product,Product C,2025-04-30
487,26-35,West,Favorite Product,Product C,2025-05-01
488,18-25,West,Favorite Product,Product A,2025-05-02
489,36-50,West,Favorite Product,Product A,2025-05-03
490,18-25,West,Favorite Product,Product B,2025-05-04
491,26-35,North,Favorite Product,Product B,2025-05-05
492,26-35,East,Favorite Product,Product A,2025-05-06
493,18-25,West,Favorite Product,Product B,2025-05-07
494,36-50,East,Favorite Product,Product A,2025-05-08
495,26-35,East,Favorite Product,Product C,2025-05-09
496,26-35,North,Favorite Product,Product B,2025-05-10
497,26-35,West,Favorite Product,Product B,2025-05-11
498,18-25,South,Favorite Product,Product A,2025-05-12
499,26-35,North,Favorite Product,Product B,2025-05-13
500,36-50,South,Favorite Product,Product B,2025-05-14
